item,price
Fully Cooked Falafel,3.99
Hummus Smooth & Creamy,3.79
Wild Arugula Salad,2.29
Sesame Bagels,2.49
Bag Fee,0.05
Chocolate Covered Joe Joes,4.49
Lentil & Ancient Grain Soup,3.99
Corn Chip Dippers,2.49
Tzatziki Dip,3.99
Guacamole Autentico,3.79
Chicken Caesar Salad,4.99
Gummy Spooky Sour Cats,3.49
Gummy Scandanavian Swimmers,3.49
Harvest Salad,5.49
Mandarin Orange Chicken Bowl,3.99
Chicken & Green Chile Tamales,6.99
Banana,0.19
Just Sauce Turkey Bolognese,3.29
Butter Chicken w/Basmati Rice,4.49
Indian Madras Lentils,2.29
Vegetable Bird's Nests,3.79
Mandarin Orange Chicken,4.99
Chicken Spring Rolls,4.29
Sweet Apple Chicken Sausages,3.99
